id,embedding_index,image_url,clip_success
135173,122,https://openaccess-cdn.clevelandart.org/1958.20/1958.20_web.jpg,True
123435,123,https://openaccess-cdn.clevelandart.org/1943.659/1943.659_web.jpg,True
122348,124,https://openaccess-cdn.clevelandart.org/1942.644/1942.644_web.jpg,True
135875,125,https://openaccess-cdn.clevelandart.org/1959.38/1959.38_web.jpg,True
134430,126,https://openaccess-cdn.clevelandart.org/1956.87/1956.87_web.jpg,True
136682,127,https://openaccess-cdn.clevelandart.org/1961.220/1961.220_web.jpg,True
136922,128,https://openaccess-cdn.clevelandart.org/1961.40/1961.40_web.jpg,True
136207,129,https://openaccess-cdn.clevelandart.org/1960.108/1960.108_web.jpg,True
95287,130,https://openaccess-cdn.clevelandart.org/1916.1056/1916.1056_web.jpg,True
141476,131,https://openaccess-cdn.clevelandart.org/1964.89/1964.89_web.jpg,True
122340,132,https://openaccess-cdn.clevelandart.org/1942.637/1942.637_web.jpg,True
92844,133,https://openaccess-cdn.clevelandart.org/2020.110/2020.110_web.jpg,True
130163,134,https://openaccess-cdn.clevelandart.org/1952.542/1952.542_web.jpg,True
136509,135,https://openaccess-cdn.clevelandart.org/1960.80/1960.80_web.jpg,True
138881,136,https://openaccess-cdn.clevelandart.org/1963.252/1963.252_web.jpg,True
148963,137,https://openaccess-cdn.clevelandart.org/1977.120/1977.120_web.jpg,True
143278,138,https://openaccess-cdn.clevelandart.org/1967.215/1967.215_web.jpg,True
543981,139,https://openaccess-cdn.clevelandart.org/2023.122/2023.122_web.jpg,True
147479,140,https://openaccess-cdn.clevelandart.org/1973.212/1973.212_web.jpg,True
115783,141,https://openaccess-cdn.clevelandart.org/1936.496/1936.496_web.jpg,True
141168,142,https://openaccess-cdn.clevelandart.org/1964.420/1964.420_web.jpg,True
122347,143,https://openaccess-cdn.clevelandart.org/1942.643/1942.643_web.jpg,True
153406,144,https://openaccess-cdn.clevelandart.org/1986.9/1986.9_web.jpg,True
